"","category","timePeriod","duration","definition","caption","madeForKids","views","likes","comments","viewsQuartile3","likesQuartile3","commentsQuartile3","likesQuartile9","commentsQuartile9","publishedAtMonth","publishedAtDay","publishedAtYear","age"
"505","music","during",287,"hd","False","False",18.0831373898896,13.7978647829889,10.6355909882065,"3",3,3,"9","9",7,24,2020,17.7916115847662
"506","comedy","before",255,"hd","True","False",16.3448949120156,12.1434203443607,8.52198170814803,"3",3,3,"8","8",9,11,2019,18.2062273734
"507","music","during",192,"hd","False","False",16.2865695195588,12.2325003373655,8.76233304060234,"3",3,3,"8","8",7,24,2020,17.791611903663
"508","music","after",267,"hd","False","False",15.3961365651598,12.0952695681887,8.97221007835365,"3",3,3,"8","8",2,8,2022,15.3212885079799
"509","science/tech","during",421,"hd","True","False",15.0709841351526,11.1525579977651,7.82043951526218,"3",3,3,"7","7",4,13,2020,17.9439488184007
"510","music","before",180,"hd","False","False",17.4100625467518,12.8568784487254,9.64049809267472,"3",3,3,"9","9",8,23,2019,18.226357785577
"511","music","after",172,"hd","False","False",15.9203936999658,12.8188879099332,9.18840146445743,"3",3,3,"8","8",2,27,2022,14.8820093506044
"512","comedy","before",126,"hd","True","False",17.4571077941362,14.0548502409806,10.6881650509417,"3",3,3,"9","9",4,23,2019,18.3468308569533
"513","music","after",194,"hd","False","False",16.5560712525581,12.5446319883435,9.78098087804333,"3",3,3,"8","9",1,24,2022,15.5861035903305
"514","comedy","before",210,"hd","True","False",17.1540615650278,13.364973813385,10.3250228408218,"3",3,3,"9","9",4,2,2019,18.3661572591653
"515","music","during",221,"hd","True","False",16.4369229850059,12.0913910454466,8.44784311328144,"3",3,3,"8","8",11,12,2020,17.5917136111548
"516","comedy","before",585,"hd","True","False",16.9021864462839,13.1937179911146,9.17076759685636,"3",3,3,"9","8",11,5,2019,18.1454550345479
